,Nome da Empresa,Mínimo Salário,Máximo Salário,Cargo
0,Itaú Unibanco (Itaú BBA e Rede),8963.0,NA,Data Scientist: mensal
1,Nubank,14341.0,NA,Data Scientist: mensal
2,IBM,9345.0,NA,Data Scientist: mensal
3,Loft,12359.0,NA,Data Scientist: mensal
4,Creditas,8698.0,NA,Data Scientist: mensal
5,Wildlife Studios,14532.0,NA,Data Scientist: mensal
6,iFood,13981.0,NA,Data Scientist: mensal
7,Neoway,13102.0,NA,Data Scientist: mensal
8,Accenture,6300.0,NA,Data Scientist: mensal
9,PicPay,10431.0,NA,Data Scientist: mensal
10,Atlantico,5912.0,NA,Data Scientist: mensal
11,McKinsey & Company,11170.0,NA,Data Scientist: mensal
12,Grupo Globo,10593.0,NA,Data Scientist: mensal
13,Santander,9474.0,NA,Data Scientist: mensal
14,americanas s.a.,7393.0,NA,Data Scientist: mensal
15,Experian,6390.0,NA,Data Scientist: mensal
16,QuintoAndar,11757.0,NA,Data Scientist: mensal
17,ADVISIA Analytics,10737.0,NA,Data Scientist: mensal
18,Dell Technologies,14230.0,NA,Data Scientist: mensal
19,Kunumi,6388.0,NA,Data Scientist: mensal
20,GetNinjas,11284.0,NA,Data Scientist: mensal
21,PoaTek,4928.0,NA,Data Scientist: mensal
22,Softplan,8294.0,NA,Data Scientist: mensal
23,Neon Pagamentos,8301.0,NA,Data Scientist: mensal
24,Guiabolso,7751.0,NA,Data Scientist: mensal
25,Ambev,10275.0,NA,Data Scientist: mensal
26,Nubank,12257.0,NA,Data Scientist: prestador de serviços mensal
27,Itaú Unibanco (Itaú BBA e Rede),8927.0,NA,Data Scientist: prestador de serviços mensal
28,Petlove,8080.999999999999,NA,Data Scientist: mensal
29,Big Data Brasil,5793.0,NA,Data Scientist: mensal
30,Dasa,13580.0,NA,Data Scientist: mensal
31,Elo7,13853.0,NA,Data Scientist: mensal
32,Pin People,4200.0,NA,Data Scientist: mensal
33,TEVEC,6093.0,NA,Data Scientist: mensal
34,Bayer,13099.0,NA,Data Scientist: mensal
35,Ambev Tech,9600.0,NA,Data Scientist: mensal
36,Nuvemshop,12175.0,NA,Data Scientist: mensal
37,PoaTek,3177.0,NA,Data Scientist: estagiário mensal
38,HP Inc.,7438.0,NA,Data Scientist: mensal
39,GVDASA Sistemas,5499.0,NA,Data Scientist: mensal
40,Luizalabs,11762.0,NA,Data Scientist: mensal
41,Stefanini,8258.0,NA,Data Scientist: mensal
42,Hospital Israelita Albert Einstein,10850.0,NA,Data Scientist: mensal
43,ClearSale,13545.0,NA,Data Scientist: mensal
44,everis,9024.0,NA,Data Scientist: mensal
45,Liv Up,9755.0,NA,Data Scientist: mensal
46,Semantix,7148.0,NA,Data Scientist: mensal
47,Big Data Brasil,7661.0,NA,Data Scientist: prestador de serviços mensal
48,VTEX,2000.0,3000.0,Data Scientist: estagiário mensal
49,Quero Educação,5000.0,7000.0,Data Scientist: mensal
50,Intelie,4000.0,6000.0,Data Scientist: mensal
51,Involves,8000.0,9000.0,Data Scientist: mensal
52,Microsoft,15000.0,19000.0,Data Scientist: mensal
53,Inmetrics,6000.0,9000.0,Data Scientist: mensal
54,Spassu tecnologia,7000.0,8000.0,Data Scientist: mensal
55,MODEC,11000.0,13000.0,Data Scientist: mensal
56,Raro Labs,6000.0,6000.0,Data Scientist: mensal
57,Radix Engenharia e Software,8000.0,10000.0,Data Scientist: mensal
58,everis,7000.0,9000.0,Data Scientist: prestador de serviços mensal
59,HypeFlame,6000.0,6000.0,Data Scientist: mensal
60,PoaTek,4000.0,6000.0,Data Scientist: prestador de serviços mensal
61,Universidade Federal de Campina Grande (UFCG),5000.0,10000.0,Data Scientist: mensal
62,Universidade Federal do Rio Grande do Norte (UFRN),2000.0,4000.0,Data Scientist: mensal
63,Boston Consulting Group,11000.0,26000.0,Data Scientist: mensal
64,BelugaDB,7000.0,8000.0,Data Scientist: mensal
65,Guiabolso,3000.0,3000.0,Data Scientist: estagiário mensal
66,Stone,10000.0,15000.0,Data Scientist: mensal
67,LEVEE,8000.0,20000.0,Data Scientist: prestador de serviços mensal
68,TransUnion,7000.0,10000.0,Data Scientist: mensal
69,Vallourec & Sumitomo Tubos do Brasil,9000.0,11000.0,Data Scientist: mensal
70,TOTVS,6000.0,9000.0,Data Scientist: mensal
71,Birdie (CA),5000.0,6000.0,Data Scientist: mensal
72,Banco Bradesco,10000.0,15000.0,Data Scientist: mensal
73,Catho Online,16000.0,17000.0,Data Scientist: mensal
74,RPMA Comunicação,6000.0,7000.0,Data Scientist: mensal
75,Autônomo (Brazil),3000.0,8000.0,Data Scientist: mensal
76,CargoX,8000.0,9000.0,Data Scientist: mensal
77,HARTB,2000.0,11000.0,Data Scientist: mensal
78,Itaú Unibanco (Itaú BBA e Rede),2000.0,3000.0,Data Scientist: estagiário mensal
79,Trustly,12000.0,17000.0,Data Scientist: mensal
80,Keyrus,2000.0,8000.0,Data Scientist: mensal
81,Instituto de Pesquisas ELDORADO,8000.0,9000.0,Data Scientist: mensal
82,Chaordic Systems,6000.0,8000.0,Data Scientist: mensal
83,GAVB,3000.0,7000.0,Data Scientist: mensal
84,NeuralMed,8000.0,9000.0,Data Scientist: mensal
85,Loft,17000.0,21000.0,Data Scientist: prestador de serviços mensal
86,banco BV,6000.0,9000.0,Data Scientist: mensal
87,RD Station,7000.0,10000.0,Data Scientist: mensal
88,Centro de Estudos e Sistemas Avançados do Recife - C.E.S.A.R,5000.0,8000.0,Data Scientist: mensal
89,CI&T,5000.0,8000.0,Data Scientist: mensal
90,Big Data Brasil,2000.0,2000.0,Data Scientist: estagiário mensal
91,BTG Pactual,7000.0,9000.0,Data Scientist: mensal
92,Méliuz,8000.0,9000.0,Data Scientist: mensal
93,Raia Drogasil,78000.0,84000.0,Data Scientist: prestador de serviços por hora
94,ADVISIA Analytics,9000.0,10000.0,Data Scientist: prestador de serviços mensal
95,Soko (Brazil),5000.0,5000.0,Data Scientist: mensal
96,Optimum Soluções Estratégicas,7000.0,9000.0,Data Scientist: mensal
97,Dafiti,6000.0,12000.0,Data Scientist: mensal
98,FALCONI,11000.0,18000.0,Data Scientist: mensal
99,Solides,3000.0,4000.0,Data Scientist: mensal
