,Nome da Empresa,Mínimo Salário,Máximo Salário,Cargo
0,Dasa,8000.0,8000.0,Analyst People Analytics: prestador de serviços mensal
1,Nubank,9000.0,9000.0,Analyst People Analytics: mensal
2,QuintoAndar,4000.0,5000.0,Analyst People Analytics: mensal
3,Catho Online,5000.0,6000.0,Analyst People Analytics: mensal
4,NTCONSULT,6000.0,7000.0,Analyst People Analytics: prestador de serviços mensal
5,Sistema Ocemg,5000.0,6000.0,Analyst People Analytics: mensal
6,RD Station,5000.0,6000.0,People Analytics: mensal
7,EBANX,2000.0,2000.0,People Analytics: estagiário mensal
8,Boa Vista Serviços,4000.0,4000.0,People Analytics: mensal
9,CHS Inc,8000.0,8000.0,People Analytics: mensal
10,PepsiCo,14000.0,16000.0,People Analytics Manager: mensal
11,OLX Brasil,14000.0,15000.0,People Analytics Manager: mensal
12,Talent Academy,136000.0,148000.0,Head of People Analytics: prestador de serviços
13,Numera People Analytics,1000.0,2000.0,People Analytics Consultant: mensal
14,Cognizant Technology Solutions,5000.0,6000.0,analista de people analytics: mensal
15,Gi Group,3000.0,3000.0,analista de people analytics: mensal
16,Indigo,2000.0,3000.0,analista de people analytics: mensal
17,Mindsight,5000.0,5000.0,analista de people analytics: mensal
18,Numerator,3000.0,3000.0,analista de people analytics: mensal
19,AMARO,13000.0,14000.0,People Analytics Lead
20,BrMalls,7000.0,8000.0,Especialista de People Analytics: mensal
21,iFood,6000.0,6000.0,Analista de People Analytics Pleno: mensal
22,FortBrasil,858000.0,927000.0,Estagi&aacute;rio de People Analytics: estagiário mensal
